Date,Date.1,UNIONBANK.NS.Open,UNIONBANK.NS.High,UNIONBANK.NS.Low,UNIONBANK.NS.Close,UNIONBANK.NS.Volume,UNIONBANK.NS.Adjusted,log_returns
2013-08-30,2013-08-30,98.5,103.5,97.550003,101.800003,4915578.0,93.516357,0.03143183828877038
2013-09-02,2013-09-02,102.5,108.5,102.5,107.449997,3479977.0,98.706604,0.05401549185814503
2013-09-03,2013-09-03,108.599998,108.900002,101.0,101.5,3464857.0,93.240768,-0.056966803086963225
2013-09-04,2013-09-04,102.0,104.900002,100.0,102.849998,2681522.0,94.480919,0.01321284782626364
2013-09-05,2013-09-05,105.5,111.699997,105.5,110.650002,5630914.0,101.646217,0.07310042467665223
2013-09-06,2013-09-06,112.0,112.900002,106.199997,108.150002,4349314.0,99.349648,-0.022852897482930068
2013-09-10,2013-09-10,111.0,112.050003,108.650002,109.25,3155263.0,100.36013,0.010119590872314177
2013-09-11,2013-09-11,108.800003,118.300003,106.900002,117.800003,8588408.0,108.214417,0.07534958469462437
2013-09-12,2013-09-12,119.5,123.199997,116.75,119.099998,6405904.0,109.40863,0.01097517017416738
2013-09-13,2013-09-13,117.800003,126.800003,117.199997,124.199997,5617204.0,114.093628,0.04192963785629278
2013-09-16,2013-09-16,127.5,129.75,122.099998,125.75,4913554.0,115.517502,0.012402641390241165
2013-09-17,2013-09-17,125.5,126.449997,122.599998,124.25,2295426.0,114.139557,-0.01200016704699447
2013-09-18,2013-09-18,125.0,128.0,123.699997,126.800003,1942355.0,116.48206299999998,0.020315411584087784
2013-09-19,2013-09-19,134.0,140.899994,132.75,139.300003,5876225.0,127.964928,0.09401893088816936
2013-09-20,2013-09-20,140.399994,142.300003,121.300003,128.050003,8567798.0,117.630356,-0.08420909496815465
2013-09-23,2013-09-23,126.0,126.0,114.900002,115.800003,5888597.0,106.377159,-0.10055624859682057
2013-09-24,2013-09-24,114.0,117.349998,112.5,114.099998,5516396.0,104.815483,-0.014789383285488178
2013-09-25,2013-09-25,114.300003,116.349998,111.0,115.349998,4508403.0,105.963776,0.010895800333713623
2013-09-26,2013-09-26,115.550003,118.949997,114.849998,116.300003,4632095.0,106.836472,0.00820206649821298
2013-09-27,2013-09-27,117.300003,117.900002,115.0,115.550003,2741224.0,106.147499,-0.006469739483108583
2013-09-30,2013-09-30,114.0,114.0,109.0,109.650002,3474230.0,100.727585,-0.052409932188555615
2013-10-01,2013-10-01,110.0,112.900002,108.050003,112.050003,4538614.0,102.932297,0.021651766742089684
2013-10-03,2013-10-03,112.5,116.349998,112.5,115.800003,3040671.0,106.377159,0.03291942138313608
2013-10-04,2013-10-04,115.099998,117.150002,113.75,114.75,2829915.0,105.412598,-0.009108728228440556
2013-10-07,2013-10-07,113.75,114.699997,111.5,114.199997,3144743.0,104.907341,-0.004804660693420004
2013-10-08,2013-10-08,118.199997,118.849998,113.650002,114.349998,3196047.0,105.04513500000002,0.0013126210503431324
2013-10-09,2013-10-09,113.5,116.800003,112.400002,116.25,2971489.0,106.790535,0.01647918406501958
2013-10-10,2013-10-10,115.949997,117.449997,115.099998,115.699997,2464295.0,106.285294,-0.0047423675344004925
2013-10-11,2013-10-11,116.099998,120.300003,116.0,119.349998,4650696.0,109.638283,0.03105967950013433
2013-10-14,2013-10-14,120.5,123.949997,119.849998,122.300003,3935070.0,112.348244,0.024416757811645876
2013-10-15,2013-10-15,123.550003,124.099998,114.550003,115.550003,3540233.0,106.147499,-0.05677374190755202
2013-10-17,2013-10-17,116.099998,116.900002,112.099998,112.650002,3614952.0,103.483475,-0.02541768875074624
2013-10-18,2013-10-18,113.349998,116.199997,113.349998,115.650002,2915307.0,106.239365,0.02628277055476147
2013-10-21,2013-10-21,116.599998,120.099998,116.199997,119.0,3297406.0,109.316765,0.028555059921468562
2013-10-22,2013-10-22,118.5,120.699997,117.0,117.650002,3132750.0,108.076622,-0.011409330061292522
2013-10-23,2013-10-23,118.800003,122.099998,117.800003,120.150002,5782132.0,110.373192,0.02102683973170549
2013-10-24,2013-10-24,120.449997,125.0,120.099998,122.699997,6254861.0,112.715683,0.02100129014940144
2013-10-25,2013-10-25,122.099998,124.449997,121.099998,122.849998,3042027.0,112.853477,0.001221745181300804
2013-10-28,2013-10-28,123.449997,124.650002,113.699997,114.199997,4759759.0,104.907341,-0.07301281971178941
2013-10-29,2013-10-29,114.199997,119.800003,112.599998,118.900002,5732116.0,109.224907,0.0403316294957925
2013-10-30,2013-10-30,119.800003,120.599998,114.400002,114.949997,4339364.0,105.596321,-0.03378559173359896
2013-10-31,2013-10-31,115.900002,124.0,114.300003,123.550003,12711043.0,113.496521,0.07214865281918037
2013-11-01,2013-11-01,123.449997,139.949997,122.099998,134.350006,22739817.0,123.417709,0.08380242561967144
2013-11-05,2013-11-05,136.0,142.699997,134.0,136.050003,10793639.0,124.979385,0.012574193612533868
2013-11-06,2013-11-06,136.350006,138.149994,129.550003,130.350006,5794411.0,119.743202,-0.042799337289079815
2013-11-07,2013-11-07,130.050003,133.800003,126.099998,126.849998,6393336.0,116.528,-0.02721787893686312
2013-11-08,2013-11-08,126.099998,129.800003,124.650002,128.050003,4773963.0,117.630356,0.009415543931044823
2013-11-11,2013-11-11,127.0,128.300003,122.599998,123.849998,4696198.0,113.77211,-0.03334971883727622
2013-11-12,2013-11-12,123.599998,126.5,120.699997,121.900002,3360688.0,111.980789,-0.01587008277234947
2013-11-13,2013-11-13,120.5,124.25,118.150002,118.5,5892854.0,108.857452,-0.02828808327466525
2013-11-14,2013-11-14,120.150002,123.900002,120.150002,122.800003,2745863.0,112.807556,0.035644076113798384
2013-11-18,2013-11-18,125.25,131.800003,125.150002,130.0,3962038.0,119.421677,0.0569774112580248
