Date,Date.1,FEDERALBNK.NS.Open,FEDERALBNK.NS.High,FEDERALBNK.NS.Low,FEDERALBNK.NS.Close,FEDERALBNK.NS.Volume,FEDERALBNK.NS.Adjusted,log_returns
2013-11-25,2013-11-25,39.125,39.700001,38.875,39.525002,3726858.0,36.460468,0.017868869190609704
2013-11-26,2013-11-26,39.450001,40.099998,39.025002,39.075001,4007536.0,36.045364,-0.011450348859223693
2013-11-27,2013-11-27,38.875,39.424999,38.599998,38.950001,1507108.0,35.930054,-0.0032041522469064
2013-11-28,2013-11-28,39.150002,39.349998,37.900002,38.174999,4828178.0,35.215141,-0.02009797188171092
2013-11-29,2013-11-29,38.25,39.700001,38.25,39.424999,8811850.0,36.36822100000001,0.03221921169757547
2013-12-02,2013-12-02,39.525002,40.25,39.400002,39.674999,2652318.0,36.598839,0.006321174730202106
2013-12-03,2013-12-03,39.5,39.775002,39.325001,39.575001,1398480.0,36.506596,-0.002523562002006763
2013-12-04,2013-12-04,39.25,39.599998,38.549999,38.900002,5779702.0,35.883934,-0.017203282155198618
2013-12-05,2013-12-05,40.099998,40.25,39.049999,39.174999,6776616.0,36.137604,0.007044310799736221
2013-12-06,2013-12-06,39.099998,39.700001,38.924999,39.474998,3599730.0,36.414349,0.007628915026447468
2013-12-09,2013-12-09,40.974998,41.549999,40.075001,41.25,8380192.0,38.051723,0.0439834655437763
2013-12-10,2013-12-10,41.400002,41.450001,39.875,40.125,3508712.0,37.013947,-0.027651578241572942
2013-12-11,2013-12-11,40.025002,40.5,39.5,40.275002,2092784.0,37.152321,0.0037314580951379743
2013-12-12,2013-12-12,40.299999,40.325001,39.299999,39.474998,1398786.0,36.414349,-0.020063345397341337
2013-12-13,2013-12-13,39.049999,39.349998,38.299999,38.525002,3650324.0,35.53801,-0.024360072349912887
2013-12-16,2013-12-16,38.525002,38.875,38.224998,38.575001,1245778.0,35.584126,0.0012968116273350814
2013-12-17,2013-12-17,38.974998,40.200001,38.625,39.200001,3538448.0,36.160671,0.016072452228622414
2013-12-18,2013-12-18,39.0,40.349998,38.950001,40.025002,3550348.0,36.921707,0.020827551901030358
2013-12-19,2013-12-19,40.25,40.5,39.025002,39.200001,1365408.0,36.160671,-0.020827551901030358
2013-12-20,2013-12-20,39.25,40.0,39.075001,39.775002,1134842.0,36.691086,0.01456174550727285
2013-12-23,2013-12-23,39.924999,42.325001,39.75,41.825001,7422180.0,38.582146,0.05025579333157637
2013-12-24,2013-12-24,42.325001,42.450001,40.75,41.075001,6067210.0,37.890293,-0.018094672694917158
2013-12-26,2013-12-26,41.275002,43.0,41.150002,42.049999,8017616.0,38.789696,0.023459686438086717
