Date,Date.1,ICICIBANK.NS.Open,ICICIBANK.NS.High,ICICIBANK.NS.Low,ICICIBANK.NS.Close,ICICIBANK.NS.Volume,ICICIBANK.NS.Adjusted,log_returns
2015-01-21,2015-01-21,333.182007,337.22699,331.954987,334.954987,12457852.0,316.226501,0.0019035455784237603
2015-01-22,2015-01-22,335.364014,338.454987,331.454987,336.182007,9320936.0,317.384949,0.0036566551655985435
2015-01-23,2015-01-23,340.817993,341.364014,335.182007,337.0,13525551.0,318.157196,0.002430200376612568
2015-01-27,2015-01-27,340.454987,349.817993,338.817993,348.635986,13932787.0,329.142548,0.03394534583907838
2015-01-28,2015-01-28,348.135986,357.635986,346.908997,349.135986,14787691.0,329.61462400000005,0.0014332324591670444
2015-01-29,2015-01-29,345.545013,348.908997,341.408997,345.72699,22085260.0,326.39624,-0.009812062567325695
2015-01-30,2015-01-30,346.77301,347.27301,322.408997,327.908997,31372235.0,309.574524,-0.05291325190763718
2015-02-02,2015-02-02,327.545013,327.908997,318.182007,319.864014,37165960.0,301.979309,-0.024840349725423927
2015-02-03,2015-02-03,320.0,324.364014,313.72699,315.091003,25975651.0,297.473175,-0.015034448929623244
2015-02-04,2015-02-04,314.591003,315.682007,309.317993,313.317993,15639436.0,295.799347,-0.005642710151494867
2015-02-05,2015-02-05,309.908997,313.908997,302.5,305.091003,18771839.0,288.0323180000001,-0.02660865358351749
2015-02-06,2015-02-06,305.454987,309.091003,297.908997,299.408997,17811771.0,282.66803,-0.018799518892691047
2015-02-09,2015-02-09,297.72699,297.72699,289.545013,290.954987,15330887.0,274.686707,-0.028641969266992362
2015-02-10,2015-02-10,289.545013,304.545013,287.635986,300.954987,31301277.0,284.127594,0.033792210957079405
2015-02-11,2015-02-11,303.72699,309.045013,303.591003,304.27301,13732189.0,287.260071,0.010964564251038313
2015-02-12,2015-02-12,307.454987,310.317993,300.0,308.317993,14372362.0,291.0789180000001,0.013206450114331858
2015-02-13,2015-02-13,312.72699,314.454987,309.27301,312.591003,9926538.0,295.113007,0.013763931280931452
2015-02-16,2015-02-16,315.408997,315.408997,305.817993,307.317993,11084025.0,290.134796,-0.017012728780603226
2015-02-18,2015-02-18,308.817993,312.72699,308.817993,311.27301,8830098.0,293.868652,0.012787276824930416
2015-02-19,2015-02-19,309.182007,312.591003,302.045013,307.77301,10326464.0,290.564392,-0.011307694668630576
2015-02-20,2015-02-20,304.545013,305.27301,298.635986,300.864014,17197011.0,284.041687,-0.02270419833687676
2015-02-23,2015-02-23,302.72699,304.091003,297.27301,299.091003,12236794.0,282.367798,-0.0059105432284196615
2015-02-24,2015-02-24,299.545013,301.27301,295.0,296.408997,12177664.0,279.835754,-0.009007631172951669
2015-02-25,2015-02-25,297.817993,300.908997,292.045013,293.182007,18029911.0,276.789215,-0.010946578365064852
2015-02-26,2015-02-26,295.182007,295.864014,291.045013,292.091003,18356309.0,275.759186,-0.0037282894720709336
